,image,target
4216,./Resources/Train/WithMask/Augmented_754_7616066.png,mask
44,./Resources/Train/WithMask/1068.png,mask
4859,./Resources/Train/WithMask/Augmented_878_3452056.png,mask
1376,./Resources/Train/WithMask/Augmented_218_2955941.png,mask
2035,./Resources/Train/WithMask/Augmented_342_918140.png,mask
6934,./Resources/faces/1 (266).jpg,without_mask
3352,./Resources/Train/WithMask/Augmented_594_46790.png,mask
4426,./Resources/Train/WithMask/Augmented_795_2309601.png,mask
6717,./Resources/faces/1 (2468).jpg,without_mask
8985,./Resources/faces/1 (447).jpg,without_mask
7401,./Resources/faces/1 (3070).jpg,without_mask
541,./Resources/Train/WithMask/511.png,mask
2654,./Resources/Train/WithMask/Augmented_45_6654491.png,mask
9138,./Resources/faces/1 (4603).jpg,without_mask
10325,./Resources/faces/1 (5653).jpg,without_mask
7750,./Resources/faces/1 (338).jpg,without_mask
3160,./Resources/Train/WithMask/Augmented_555_5166920.png,mask
647,./Resources/Train/WithMask/748.png,mask
4602,./Resources/Train/WithMask/Augmented_829_5884644.png,mask
7408,./Resources/faces/1 (3077).jpg,without_mask
2623,./Resources/Train/WithMask/Augmented_454_5243441.png,mask
10657,./Resources/faces/1 (5947).jpg,without_mask
7432,./Resources/faces/1 (3099).jpg,without_mask
1288,./Resources/Train/WithMask/Augmented_201_3429954.png,mask
152,./Resources/Train/WithMask/130.png,mask
6130,./Resources/faces/1 (195).jpg,without_mask
9248,./Resources/faces/1 (4700).jpg,without_mask
6697,./Resources/faces/1 (245).jpg,without_mask
12048,./Resources/faces/1 (86).jpg,without_mask
10297,./Resources/faces/1 (5628).jpg,without_mask
9036,./Resources/faces/1 (4513).jpg,without_mask
8728,./Resources/faces/1 (4241).jpg,without_mask
4920,./Resources/Train/WithMask/Augmented_88_3018531.png,mask
755,./Resources/Train/WithMask/Augmented_100_6005552.png,mask
11616,./Resources/faces/1 (6794).jpg,without_mask
10601,./Resources/faces/1 (5899).jpg,without_mask
4133,./Resources/Train/WithMask/Augmented_738_9403693.png,mask
6178,./Resources/faces/1 (1993).jpg,without_mask
4812,./Resources/Train/WithMask/Augmented_869_969643.png,mask
3798,./Resources/Train/WithMask/Augmented_676_5077593.png,mask
1587,./Resources/Train/WithMask/Augmented_257_7947257.png,mask
6414,./Resources/faces/1 (22).jpg,without_mask
11138,./Resources/faces/1 (6370).jpg,without_mask
4987,./Resources/Train/WithMask/Augmented_98_8640295.png,mask
7364,./Resources/faces/1 (3037).jpg,without_mask
3561,./Resources/Train/WithMask/Augmented_631_9723332.png,mask
10368,./Resources/faces/1 (5692).jpg,without_mask
11383,./Resources/faces/1 (6588).jpg,without_mask
5757,./Resources/faces/1 (1619).jpg,without_mask
6513,./Resources/faces/1 (2288).jpg,without_mask
11798,./Resources/faces/1 (6954).jpg,without_mask
496,./Resources/Train/WithMask/416.png,mask
10997,./Resources/faces/1 (6245).jpg,without_mask
7375,./Resources/faces/1 (3047).jpg,without_mask
4382,./Resources/Train/WithMask/Augmented_786_9296259.png,mask
8231,./Resources/faces/1 (3803).jpg,without_mask
4251,./Resources/Train/WithMask/Augmented_761_2090271.png,mask
1816,./Resources/Train/WithMask/Augmented_2_7268703.png,mask
6069,./Resources/faces/1 (1897).jpg,without_mask
4276,./Resources/Train/WithMask/Augmented_765_8485814.png,mask
777,./Resources/Train/WithMask/Augmented_105_187606.png,mask
4425,./Resources/Train/WithMask/Augmented_795_2019997.png,mask
9711,./Resources/faces/1 (5108).jpg,without_mask
3881,./Resources/Train/WithMask/Augmented_692_7024288.png,mask
7216,./Resources/faces/1 (2908).jpg,without_mask
10799,./Resources/faces/1 (6070).jpg,without_mask
10801,./Resources/faces/1 (6072).jpg,without_mask
4304,./Resources/Train/WithMask/Augmented_770_8710479.png,mask
7148,./Resources/faces/1 (2849).jpg,without_mask
7634,./Resources/faces/1 (3277).jpg,without_mask
9421,./Resources/faces/1 (4855).jpg,without_mask
2687,./Resources/Train/WithMask/Augmented_466_1292032.png,mask
257,./Resources/Train/WithMask/1517.png,mask
6162,./Resources/faces/1 (1979).jpg,without_mask
10707,./Resources/faces/1 (5992).jpg,without_mask
8551,./Resources/faces/1 (4086).jpg,without_mask
9947,./Resources/faces/1 (5317).jpg,without_mask
6373,./Resources/faces/1 (2163).jpg,without_mask
9493,./Resources/faces/1 (4918).jpg,without_mask
5025,./Resources/faces/1 (1015).jpg,without_mask
10094,./Resources/faces/1 (5448).jpg,without_mask
59,./Resources/Train/WithMask/1090.png,mask
9791,./Resources/faces/1 (5180).jpg,without_mask
10590,./Resources/faces/1 (5889).jpg,without_mask
5394,./Resources/faces/1 (1315).jpg,without_mask
7274,./Resources/faces/1 (2960).jpg,without_mask
4763,./Resources/Train/WithMask/Augmented_85_8530175.png,mask
5935,./Resources/faces/1 (1778).jpg,without_mask
2462,./Resources/Train/WithMask/Augmented_421_1718709.png,mask
8705,./Resources/faces/1 (4220).jpg,without_mask
10949,./Resources/faces/1 (6201).jpg,without_mask
9809,./Resources/faces/1 (5197).jpg,without_mask
2424,./Resources/Train/WithMask/Augmented_414_4627969.png,mask
8518,./Resources/faces/1 (4056).jpg,without_mask
8184,./Resources/faces/1 (3763).jpg,without_mask
4727,./Resources/Train/WithMask/Augmented_853_6364863.png,mask
6615,./Resources/faces/1 (2378).jpg,without_mask
6830,./Resources/faces/1 (2568).jpg,without_mask
8776,./Resources/faces/1 (4285).jpg,without_mask
1881,./Resources/Train/WithMask/Augmented_312_888971.png,mask
8056,./Resources/faces/1 (365).jpg,without_mask
2635,./Resources/Train/WithMask/Augmented_456_6020687.png,mask
9893,./Resources/faces/1 (5270).jpg,without_mask
2814,./Resources/Train/WithMask/Augmented_489_2791152.png,mask
6588,./Resources/faces/1 (2353).jpg,without_mask
9201,./Resources/faces/1 (4660).jpg,without_mask
9651,./Resources/faces/1 (5056).jpg,without_mask
12060,./Resources/faces/1 (87).jpg,without_mask
11299,./Resources/faces/1 (6511).jpg,without_mask
1344,./Resources/Train/WithMask/Augmented_212_2582667.png,mask
11487,./Resources/faces/1 (668).jpg,without_mask
10917,./Resources/faces/1 (6175).jpg,without_mask
5134,./Resources/faces/1 (1103).jpg,without_mask
10552,./Resources/faces/1 (5854).jpg,without_mask
2780,./Resources/Train/WithMask/Augmented_482_8209225.png,mask
1611,./Resources/Train/WithMask/Augmented_261_4187282.png,mask
7785,./Resources/faces/1 (3409).jpg,without_mask
7179,./Resources/faces/1 (2877).jpg,without_mask
10460,./Resources/faces/1 (5773).jpg,without_mask
719,./Resources/Train/WithMask/939.png,mask
2684,./Resources/Train/WithMask/Augmented_465_3089704.png,mask
931,./Resources/Train/WithMask/Augmented_134_5475807.png,mask
3927,./Resources/Train/WithMask/Augmented_6_4265853.png,mask
9978,./Resources/faces/1 (5345).jpg,without_mask
1242,./Resources/Train/WithMask/Augmented_193_2525306.png,mask
11436,./Resources/faces/1 (6633).jpg,without_mask
5450,./Resources/faces/1 (1361).jpg,without_mask
1973,./Resources/Train/WithMask/Augmented_331_9656921.png,mask
3227,./Resources/Train/WithMask/Augmented_56_2194707.png,mask
11625,./Resources/faces/1 (680).jpg,without_mask
8099,./Resources/faces/1 (3689).jpg,without_mask
9219,./Resources/faces/1 (4677).jpg,without_mask
2131,./Resources/Train/WithMask/Augmented_360_7689788.png,mask
9317,./Resources/faces/1 (4763).jpg,without_mask
646,./Resources/Train/WithMask/746.png,mask
10159,./Resources/faces/1 (5504).jpg,without_mask
2215,./Resources/Train/WithMask/Augmented_377_5839873.png,mask
12213,./Resources/faces/1 (994).jpg,without_mask
949,./Resources/Train/WithMask/Augmented_137_9336801.png,mask
1535,./Resources/Train/WithMask/Augmented_248_4873939.png,mask
11900,./Resources/faces/1 (742).jpg,without_mask
1654,./Resources/Train/WithMask/Augmented_269_686028.png,mask
655,./Resources/Train/WithMask/775.png,mask
2274,./Resources/Train/WithMask/Augmented_387_3871601.png,mask
10946,./Resources/faces/1 (62).png,without_mask
3032,./Resources/Train/WithMask/Augmented_528_8332467.png,mask
8192,./Resources/faces/1 (3770).jpg,without_mask
4835,./Resources/Train/WithMask/Augmented_873_2054612.png,mask
18,./Resources/Train/WithMask/1030.png,mask
2933,./Resources/Train/WithMask/Augmented_50_771835.png,mask
5072,./Resources/faces/1 (1054).jpg,without_mask
7453,./Resources/faces/1 (3115).jpg,without_mask
3523,./Resources/Train/WithMask/Augmented_625_6433224.png,mask
11188,./Resources/faces/1 (6413).jpg,without_mask
483,./Resources/Train/WithMask/383.png,mask
8018,./Resources/faces/1 (3615).jpg,without_mask
3494,./Resources/Train/WithMask/Augmented_61_9014228.png,mask
3005,./Resources/Train/WithMask/Augmented_523_8397853.png,mask
6499,./Resources/faces/1 (2275).jpg,without_mask
3091,./Resources/Train/WithMask/Augmented_540_6398606.png,mask
10007,./Resources/faces/1 (5371).jpg,without_mask
12031,./Resources/faces/1 (845).jpg,without_mask
7253,./Resources/faces/1 (2941).jpg,without_mask
964,./Resources/Train/WithMask/Augmented_13_854473.png,mask
6419,./Resources/faces/1 (2202).jpg,without_mask
8123,./Resources/faces/1 (3708).jpg,without_mask
4402,./Resources/Train/WithMask/Augmented_790_3347222.png,mask
4156,./Resources/Train/WithMask/Augmented_742_2687066.png,mask
5981,./Resources/faces/1 (1817).jpg,without_mask
9120,./Resources/faces/1 (459).jpg,without_mask
10165,./Resources/faces/1 (551).jpg,without_mask
1323,./Resources/Train/WithMask/Augmented_208_8051969.png,mask
6885,./Resources/faces/1 (2615).jpg,without_mask
8258,./Resources/faces/1 (3828).jpg,without_mask
3563,./Resources/Train/WithMask/Augmented_632_5238768.png,mask
6896,./Resources/faces/1 (2625).jpg,without_mask
881,./Resources/Train/WithMask/Augmented_125_9536470.png,mask
213,./Resources/Train/WithMask/1423.png,mask
10127,./Resources/faces/1 (5478).jpg,without_mask
3679,./Resources/Train/WithMask/Augmented_652_9976365.png,mask
3398,./Resources/Train/WithMask/Augmented_601_5560099.png,mask
1648,./Resources/Train/WithMask/Augmented_268_3828098.png,mask
3516,./Resources/Train/WithMask/Augmented_623_7127272.png,mask
7186,./Resources/faces/1 (2883).jpg,without_mask
10920,./Resources/faces/1 (6178).jpg,without_mask
8091,./Resources/faces/1 (3681).jpg,without_mask
2783,./Resources/Train/WithMask/Augmented_483_1883111.png,mask
8163,./Resources/faces/1 (3744).jpg,without_mask
5215,./Resources/faces/1 (1170).jpg,without_mask
3120,./Resources/Train/WithMask/Augmented_547_7429457.png,mask
6680,./Resources/faces/1 (2434).jpg,without_mask
3339,./Resources/Train/WithMask/Augmented_591_9823963.png,mask
11501,./Resources/faces/1 (6692).jpg,without_mask
4880,./Resources/Train/WithMask/Augmented_882_1067530.png,mask
8931,./Resources/faces/1 (4420).jpg,without_mask
3953,./Resources/Train/WithMask/Augmented_705_1630027.png,mask
6908,./Resources/faces/1 (2636).jpg,without_mask
990,./Resources/Train/WithMask/Augmented_145_6477495.png,mask
8074,./Resources/faces/1 (3666).jpg,without_mask
988,./Resources/Train/WithMask/Augmented_145_3966157.png,mask
5661,./Resources/faces/1 (1534).jpg,without_mask
5539,./Resources/faces/1 (1433).jpg,without_mask
11735,./Resources/faces/1 (69).jpeg,without_mask
1294,./Resources/Train/WithMask/Augmented_202_8915905.png,mask
4306,./Resources/Train/WithMask/Augmented_771_7452573.png,mask
10634,./Resources/faces/1 (5926).jpg,without_mask
2412,./Resources/Train/WithMask/Augmented_412_9429355.png,mask
6083,./Resources/faces/1 (1907).jpg,without_mask
5070,./Resources/faces/1 (1052).jpg,without_mask
4017,./Resources/Train/WithMask/Augmented_716_9142945.png,mask
5657,./Resources/faces/1 (1530).jpg,without_mask
11700,./Resources/faces/1 (6868).jpg,without_mask
1854,./Resources/Train/WithMask/Augmented_308_2374901.png,mask
10450,./Resources/faces/1 (5764).jpg,without_mask
8143,./Resources/faces/1 (3726).jpg,without_mask
335,./Resources/Train/WithMask/1712.png,mask
7590,./Resources/faces/1 (3237).jpg,without_mask
2985,./Resources/Train/WithMask/Augmented_51_4923772.png,mask
8211,./Resources/faces/1 (3788).jpg,without_mask
11991,./Resources/faces/1 (811).jpg,without_mask
11387,./Resources/faces/1 (6591).jpg,without_mask
1060,./Resources/Train/WithMask/Augmented_159_1583207.png,mask
7647,./Resources/faces/1 (3289).jpg,without_mask
7032,./Resources/faces/1 (2746).jpg,without_mask
1156,./Resources/Train/WithMask/Augmented_177_6518803.png,mask
11112,./Resources/faces/1 (6347).jpg,without_mask
3169,./Resources/Train/WithMask/Augmented_557_5496193.png,mask
1427,./Resources/Train/WithMask/Augmented_228_1992995.png,mask
11177,./Resources/faces/1 (6403).jpg,without_mask
4709,./Resources/Train/WithMask/Augmented_84_7377268.png,mask
9293,./Resources/faces/1 (4741).jpg,without_mask
11744,./Resources/faces/1 (6905).jpg,without_mask
741,./Resources/Train/WithMask/978.png,mask
8166,./Resources/faces/1 (3747).jpg,without_mask
9664,./Resources/faces/1 (5068).jpg,without_mask
4573,./Resources/Train/WithMask/Augmented_823_5319441.png,mask
8695,./Resources/faces/1 (4211).jpg,without_mask
4185,./Resources/Train/WithMask/Augmented_748_7526615.png,mask
5641,./Resources/faces/1 (1516).jpg,without_mask
7231,./Resources/faces/1 (2921).jpg,without_mask
2418,./Resources/Train/WithMask/Augmented_413_4716901.png,mask
11838,./Resources/faces/1 (6990).jpg,without_mask
442,./Resources/Train/WithMask/291.png,mask
2909,./Resources/Train/WithMask/Augmented_505_446747.png,mask
4516,./Resources/Train/WithMask/Augmented_811_4536525.png,mask
8735,./Resources/faces/1 (4248).jpg,without_mask
7207,./Resources/faces/1 (290).jpg,without_mask
5972,./Resources/faces/1 (1809).jpg,without_mask
5400,./Resources/faces/1 (132).png,without_mask
4337,./Resources/Train/WithMask/Augmented_777_8350138.png,mask
6026,./Resources/faces/1 (1858).jpg,without_mask
7451,./Resources/faces/1 (3113).jpg,without_mask
10580,./Resources/faces/1 (588).jpg,without_mask
2063,./Resources/Train/WithMask/Augmented_348_234830.png,mask
7405,./Resources/faces/1 (3074).jpg,without_mask
5988,./Resources/faces/1 (1823).jpg,without_mask
9315,./Resources/faces/1 (4761).jpg,without_mask
9553,./Resources/faces/1 (4972).jpg,without_mask
10142,./Resources/faces/1 (5491).jpg,without_mask
8206,./Resources/faces/1 (3783).jpg,without_mask
11409,./Resources/faces/1 (6609).jpg,without_mask
8183,./Resources/faces/1 (3762).jpg,without_mask
8219,./Resources/faces/1 (3795).jpg,without_mask
1114,./Resources/Train/WithMask/Augmented_169_2218890.png,mask
11873,./Resources/faces/1 (721).jpg,without_mask
7700,./Resources/faces/1 (3334).jpg,without_mask
2281,./Resources/Train/WithMask/Augmented_388_8494481.png,mask
11352,./Resources/faces/1 (656).jpg,without_mask
412,./Resources/Train/WithMask/238.png,mask
9050,./Resources/faces/1 (4526).jpg,without_mask
4095,./Resources/Train/WithMask/Augmented_731_4032857.png,mask
395,./Resources/Train/WithMask/197.png,mask
7578,./Resources/faces/1 (3226).jpg,without_mask
1534,./Resources/Train/WithMask/Augmented_248_1021229.png,mask
11575,./Resources/faces/1 (6757).jpg,without_mask
8417,./Resources/faces/1 (397).jpg,without_mask
2321,./Resources/Train/WithMask/Augmented_396_9875966.png,mask
10660,./Resources/faces/1 (595).jpg,without_mask
301,./Resources/Train/WithMask/1637.png,mask
2150,./Resources/Train/WithMask/Augmented_364_5003823.png,mask
9985,./Resources/faces/1 (5351).jpg,without_mask
1724,./Resources/Train/WithMask/Augmented_282_8710617.png,mask
9741,./Resources/faces/1 (5135).jpg,without_mask
7256,./Resources/faces/1 (2944).jpg,without_mask
3294,./Resources/Train/WithMask/Augmented_583_5771803.png,mask
5887,./Resources/faces/1 (1734).jpg,without_mask
6484,./Resources/faces/1 (2261).jpg,without_mask
1547,./Resources/Train/WithMask/Augmented_24_7047818.png,mask
10564,./Resources/faces/1 (5865).jpg,without_mask
3247,./Resources/Train/WithMask/Augmented_573_9863949.png,mask
10246,./Resources/faces/1 (5583).jpg,without_mask
9639,./Resources/faces/1 (5045).jpg,without_mask
5390,./Resources/faces/1 (1311).jpg,without_mask
1912,./Resources/Train/WithMask/Augmented_319_7763397.png,mask
6024,./Resources/faces/1 (1856).jpg,without_mask
227,./Resources/Train/WithMask/1461.png,mask
3827,./Resources/Train/WithMask/Augmented_682_3887538.png,mask
11784,./Resources/faces/1 (6941).jpg,without_mask
11613,./Resources/faces/1 (6791).jpg,without_mask
566,./Resources/Train/WithMask/584.png,mask
3713,./Resources/Train/WithMask/Augmented_65_2713940.png,mask
10919,./Resources/faces/1 (6177).jpg,without_mask
10731,./Resources/faces/1 (6009).jpg,without_mask
1718,./Resources/Train/WithMask/Augmented_281_5130771.png,mask
3817,./Resources/Train/WithMask/Augmented_680_532249.png,mask
7104,./Resources/faces/1 (2809).jpg,without_mask
3156,./Resources/Train/WithMask/Augmented_554_9418893.png,mask
11904,./Resources/faces/1 (746).jpg,without_mask
5392,./Resources/faces/1 (1313).jpg,without_mask
9030,./Resources/faces/1 (4508).jpg,without_mask
1852,./Resources/Train/WithMask/Augmented_307_8722340.png,mask
12068,./Resources/faces/1 (876).jpg,without_mask
7756,./Resources/faces/1 (3385).jpg,without_mask
4215,./Resources/Train/WithMask/Augmented_754_4037128.png,mask
5333,./Resources/faces/1 (1267).jpg,without_mask
7311,./Resources/faces/1 (2994).jpg,without_mask
6654,./Resources/faces/1 (2410).jpg,without_mask
6187,./Resources/faces/1 (2).png,without_mask
3093,./Resources/Train/WithMask/Augmented_541_1027804.png,mask
4274,./Resources/Train/WithMask/Augmented_765_5342048.png,mask
11919,./Resources/faces/1 (758).jpg,without_mask
6906,./Resources/faces/1 (2634).jpg,without_mask
12197,./Resources/faces/1 (980).jpg,without_mask
11251,./Resources/faces/1 (6470).jpg,without_mask
1148,./Resources/Train/WithMask/Augmented_175_8019231.png,mask
10180,./Resources/faces/1 (5523).jpg,without_mask
3556,./Resources/Train/WithMask/Augmented_630_6979377.png,mask
2120,./Resources/Train/WithMask/Augmented_359_1470274.png,mask
30,./Resources/Train/WithMask/1050.png,mask
9367,./Resources/faces/1 (4806).jpg,without_mask
1677,./Resources/Train/WithMask/Augmented_274_2270305.png,mask
10578,./Resources/faces/1 (5878).jpg,without_mask
6084,./Resources/faces/1 (1908).jpg,without_mask
9634,./Resources/faces/1 (5040).jpg,without_mask
3346,./Resources/Train/WithMask/Augmented_593_4261376.png,mask
7757,./Resources/faces/1 (3386).jpg,without_mask
4767,./Resources/Train/WithMask/Augmented_860_9163084.png,mask
9766,./Resources/faces/1 (5158).jpg,without_mask
6710,./Resources/faces/1 (2461).jpg,without_mask
5517,./Resources/faces/1 (1415).jpg,without_mask
8046,./Resources/faces/1 (3640).jpg,without_mask
4559,./Resources/Train/WithMask/Augmented_820_7154651.png,mask
8265,./Resources/faces/1 (3834).jpg,without_mask
6727,./Resources/faces/1 (2477).jpg,without_mask
7990,./Resources/faces/1 (3592).jpg,without_mask
9487,./Resources/faces/1 (4912).jpg,without_mask
6873,./Resources/faces/1 (2604).jpg,without_mask
6343,./Resources/faces/1 (2136).jpg,without_mask
4108,./Resources/Train/WithMask/Augmented_733_9330398.png,mask
11610,./Resources/faces/1 (6789).jpg,without_mask
9366,./Resources/faces/1 (4805).jpg,without_mask
8158,./Resources/faces/1 (374).jpg,without_mask
8737,./Resources/faces/1 (425).jpg,without_mask
3150,./Resources/Train/WithMask/Augmented_553_1101552.png,mask
463,./Resources/Train/WithMask/324.png,mask
4077,./Resources/Train/WithMask/Augmented_729_1262527.png,mask
9060,./Resources/faces/1 (4535).jpg,without_mask
5906,./Resources/faces/1 (1751).jpg,without_mask
10437,./Resources/faces/1 (5752).jpg,without_mask
11972,./Resources/faces/1 (799).jpg,without_mask
8271,./Resources/faces/1 (384).jpg,without_mask
1472,./Resources/Train/WithMask/Augmented_236_6565595.png,mask
2358,./Resources/Train/WithMask/Augmented_402_9366310.png,mask
359,./Resources/Train/WithMask/1757.png,mask
4561,./Resources/Train/WithMask/Augmented_821_21374.png,mask
8292,./Resources/faces/1 (3859).jpg,without_mask
3165,./Resources/Train/WithMask/Augmented_556_7894202.png,mask
8315,./Resources/faces/1 (388).jpg,without_mask
497,./Resources/Train/WithMask/417.png,mask
3536,./Resources/Train/WithMask/Augmented_627_9476610.png,mask
2701,./Resources/Train/WithMask/Augmented_468_1810616.png,mask
4457,./Resources/Train/WithMask/Augmented_7_9142719.png,mask
4834,./Resources/Train/WithMask/Augmented_873_1135412.png,mask
5298,./Resources/faces/1 (1238).jpg,without_mask
4591,./Resources/Train/WithMask/Augmented_827_8769658.png,mask
4079,./Resources/Train/WithMask/Augmented_729_5179846.png,mask
3899,./Resources/Train/WithMask/Augmented_695_6452813.png,mask
11628,./Resources/faces/1 (6802).jpg,without_mask
2769,./Resources/Train/WithMask/Augmented_480_8284394.png,mask
3329,./Resources/Train/WithMask/Augmented_590_2149515.png,mask
11381,./Resources/faces/1 (6586).jpg,without_mask
4432,./Resources/Train/WithMask/Augmented_796_3664353.png,mask
7399,./Resources/faces/1 (3069).jpg,without_mask
11555,./Resources/faces/1 (6739).jpg,without_mask
5690,./Resources/faces/1 (1560).jpg,without_mask
6718,./Resources/faces/1 (2469).jpg,without_mask
11207,./Resources/faces/1 (6430).jpg,without_mask
7082,./Resources/faces/1 (2791).jpg,without_mask
8357,./Resources/faces/1 (3915).jpg,without_mask
1729,./Resources/Train/WithMask/Augmented_283_8558798.png,mask
5395,./Resources/faces/1 (1316).jpg,without_mask
7069,./Resources/faces/1 (278).jpg,without_mask
746,./Resources/Train/WithMask/996.png,mask
9865,./Resources/faces/1 (5245).jpg,without_mask
12114,./Resources/faces/1 (911).jpg,without_mask
958,./Resources/Train/WithMask/Augmented_139_8251949.png,mask
11509,./Resources/faces/1 (67).jpeg,without_mask
3597,./Resources/Train/WithMask/Augmented_638_8698700.png,mask
8703,./Resources/faces/1 (4219).jpg,without_mask
3448,./Resources/Train/WithMask/Augmented_611_7834615.png,mask
11347,./Resources/faces/1 (6555).jpg,without_mask
5257,./Resources/faces/1 (1203).jpg,without_mask
5403,./Resources/faces/1 (1322).jpg,without_mask
12073,./Resources/faces/1 (88).png,without_mask
6023,./Resources/faces/1 (1855).jpg,without_mask
598,./Resources/Train/WithMask/650.png,mask
10798,./Resources/faces/1 (607).jpg,without_mask
4719,./Resources/Train/WithMask/Augmented_851_8447909.png,mask
12210,./Resources/faces/1 (991).jpg,without_mask
10164,./Resources/faces/1 (5509).jpg,without_mask
4036,./Resources/Train/WithMask/Augmented_71_7508313.png,mask
11437,./Resources/faces/1 (6634).jpg,without_mask
3753,./Resources/Train/WithMask/Augmented_667_3313166.png,mask
1350,./Resources/Train/WithMask/Augmented_213_2487544.png,mask
11524,./Resources/faces/1 (6710).jpg,without_mask
11365,./Resources/faces/1 (6571).jpg,without_mask
3296,./Resources/Train/WithMask/Augmented_583_6325386.png,mask
10071,./Resources/faces/1 (5427).jpg,without_mask
9081,./Resources/faces/1 (4554).jpg,without_mask
1770,./Resources/Train/WithMask/Augmented_291_1877072.png,mask
